Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
02/08/2023,04025,6,Yavapai County,AZ,98.1,140272,59.7,140035,62.1,138085,65.4,133680,67.6,65933,86.3,121823,51.8,121723,54,5491,19.7,120064,56.9,116232,58.8,58718,76.8,64379,52.8,64379,52.9,64087,53.4,63180,54.4,54067,61.5,39258,66.9,29466,54.5,23413,59.6,C,11,10,9,10,10,10,Metro,2,2,1,2,2,3,12,12,12,11,4,4,4,3,235099,225558,27934,211088,197624,76438,32982,14.6,32806,15.5,32470,16.4,23500,30.7
02/08/2023,04017,6,Navajo County,AZ,98.1,113125,95,111743,95,102989,95,90034,95,24282,95,94586,85.3,94306,91.1,18288,84.4,87453,95,76018,92.9,21626,95,51821,54.8,51814,54.9,50205,57.4,45068,59.3,28454,67.9,15900,73.5,15352,54,9417,59.2,D,16,16,16,16,16,16,Non-metro,8,8,8,8,8,8,16,16,16,15,8,8,8,7,110924,103477,21673,91873,81804,20829,26392,25.5,25460,27.7,23242,28.4,8795,42.2
02/08/2023,04001,6,Apache County,AZ,98.1,95873,95,94581,95,85612,95,73863,95,16241,95,79836,95,79503,95,17799,95,72163,95,61704,95,14241,95,43870,55,43849,55.2,41980,58.2,36935,59.9,21638,69.7,10734,75.4,11080,51.2,6103,56.9,D,16,16,16,16,16,16,Non-metro,8,8,8,8,8,8,16,16,16,15,8,8,8,7,71887,67054,14592,59355,52462,11334,17073,25.5,15979,26.9,14211,27.1,4800,42.4
02/08/2023,04011,6,Greenlee County,AZ,98.1,4806,50.6,4794,54.8,4609,59.4,4317,62.3,1007,77.6,4336,45.7,4328,49.5,403,22.2,4179,53.9,3925,56.6,954,73.6,2234,51.5,2234,51.6,2209,52.9,2138,54.5,1375,69.1,735,77,750,54.5,474,64.5,B,7,5,5,5,6,6,Non-metro,5,5,5,6,6,7,8,8,8,7,8,8,8,7,9498,8743,1814,7754,6929,1297,964,11,948,12.2,930,13.4,449,34.6
02/08/2023,UNK,6,Unknown County,AZ,98.1,121210,,120699,,116679,,111986,,28853,,90100,,89981,,5214,,87333,,84767,,20335,,43946,48.8,43944,48.8,43598,49.9,43131,50.9,33077,77.5,24524,95,3637,11,2443,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14594,,14397,,14167,,6125,
02/08/2023,04012,6,La Paz County,AZ,98.1,13291,63,13282,66,12894,68.6,12020,68.3,5848,69.7,10587,50.2,10583,52.6,1017,40.1,10281,54.7,9566,54.3,4778,56.9,3937,37.2,3937,37.2,3910,38,3769,39.4,3152,44.9,2292,48,1031,32.7,821,35.8,D,14,14,15,14,14,14,Non-metro,6,6,7,6,6,6,14,14,14,13,6,6,6,5,21108,20138,2536,18808,17602,8392,1682,8.4,1672,8.9,1639,9.3,1016,12.1
02/08/2023,04009,6,Graham County,AZ,98.1,29424,75.8,29365,81.3,27812,87.1,25390,89.1,5887,95,26340,67.8,26324,72.9,3325,43.6,25155,78.8,22999,80.7,5590,95,12497,47.4,12497,47.5,12376,49.2,11793,51.3,6951,62.1,3837,68.6,2875,41.4,1871,48.8,D,16,15,15,15,15,16,Non-metro,7,7,7,7,8,8,15,15,16,15,7,7,8,7,38837,36119,7634,31936,28485,5440,3418,9.5,3381,10.6,3301,11.6,1535,28.2
02/08/2023,04023,6,Santa Cruz County,AZ,98.1,85113,95,84258,95,73596,95,57710,95,11592,95,61443,95,61230,95,17178,95,54439,95,44052,95,9931,95,27766,45.2,27758,45.3,26459,48.6,22808,51.8,13556,66.8,7318,73.7,6564,48.4,4171,57,D,16,16,16,16,16,16,Non-metro,8,8,8,8,8,8,15,15,16,15,7,7,8,7,46498,43279,9156,38439,34123,8591,9152,21.1,8836,23,8413,24.7,3660,42.6
02/08/2023,04019,6,Pima County,AZ,98.1,942565,90,933379,94.3,881281,95,811544,95,237958,95,784295,74.9,780762,78.8,92986,58.7,742668,82,687776,82.7,212710,95,430562,54.9,430536,55.1,420310,56.6,399598,58.1,262178,70.3,161526,75.9,162529,62,112060,69.4,D,16,15,16,15,16,16,Metro,3,3,4,4,4,4,16,16,16,15,4,4,4,3,1047279,990261,158289,905833,831972,212554,219710,22.2,214209,23.6,206213,24.8,106158,49.9
02/08/2023,04013,6,Maricopa County,AZ,98.1,3153557,70.3,3135309,74.5,3001630,79,2764562,80.5,691158,95,2758156,61.5,2750382,65.3,313610,40.4,2639579,69.5,2436772,71,619524,89,1349462,48.9,1349293,49.1,1326244,50.2,1265481,51.9,794769,64.7,442611,71.4,426977,53.7,273329,61.8,C,12,11,11,10,11,11,Metro,2,3,3,3,3,4,11,12,12,11,3,4,4,3,4485414,4209295,776319,3798091,3432976,696331,573283,13.6,562058,14.8,542061,15.8,257220,36.9
